"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 15:17:19 GMT 2024","Thu May 16 15:17:24 GMT 2024","4107","","repres.TestReqres","","repres.TestReqres","successCreateUser","Успешное создание нового пользователя","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 15:17:24 GMT 2024","Thu May 16 15:17:24 GMT 2024","333","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [1] Maxim, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 15:17:25 GMT 2024","Thu May 16 15:17:25 GMT 2024","98","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [2] 2","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Thu May 16 15:17:25 GMT 2024","Thu May 16 15:17:25 GMT 2024","89","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [1] 1","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Thu May 16 15:17:25 GMT 2024","Thu May 16 15:17:25 GMT 2024","312","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [4] Anna, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 15:17:25 GMT 2024","Thu May 16 15:17:25 GMT 2024","193","","repres.TestReqres","","repres.TestReqres","successCheckEMail2","Проверка доменного имени почты","Проеряем, что на странице 2 почта пользователей оканчивается на @reqres.in"
"passed","Thu May 16 15:17:24 GMT 2024","Thu May 16 15:17:24 GMT 2024","343","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [2] Anton, teacher","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 15:17:24 GMT 2024","Thu May 16 15:17:25 GMT 2024","349","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [3] Gleb, qa engineer","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
