"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 08:42:15 GMT 2023","Fri Apr 28 08:42:21 GMT 2023","5223","","repres.TestReqres","","repres.TestReqres","successCreateUser","Успешное создание нового пользователя","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Fri Apr 28 08:42:22 GMT 2023","Fri Apr 28 08:42:22 GMT 2023","144","","repres.TestReqres","","repres.TestReqres","successCheckEMail2","Проверка доменного имени почты","Проеряем, что на странице 2 почта пользотелей оканчивается на @reqres.in"
"passed","Fri Apr 28 08:42:21 GMT 2023","Fri Apr 28 08:42:21 GMT 2023","341","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [1] Maxim, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Fri Apr 28 08:42:21 GMT 2023","Fri Apr 28 08:42:21 GMT 2023","299","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [2] Anton, teacher","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Fri Apr 28 08:42:22 GMT 2023","Fri Apr 28 08:42:22 GMT 2023","93","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [1] 1","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Fri Apr 28 08:42:22 GMT 2023","Fri Apr 28 08:42:22 GMT 2023","67","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [2] 2","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Fri Apr 28 08:42:22 GMT 2023","Fri Apr 28 08:42:22 GMT 2023","259","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [4] Anna, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Fri Apr 28 08:42:21 GMT 2023","Fri Apr 28 08:42:22 GMT 2023","290","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [3] Gleb, qa engineer","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
