"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 12:08:49 GMT 2023","Tue May 02 12:08:55 GMT 2023","5486","","repres.TestReqres","","repres.TestReqres","successCreateUser","Успешное создание нового пользователя","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Tue May 02 12:08:55 GMT 2023","Tue May 02 12:08:55 GMT 2023","298","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [2] Anton, teacher","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Tue May 02 12:08:56 GMT 2023","Tue May 02 12:08:56 GMT 2023","92","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [1] 1","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Tue May 02 12:08:56 GMT 2023","Tue May 02 12:08:56 GMT 2023","298","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [4] Anna, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Tue May 02 12:08:56 GMT 2023","Tue May 02 12:08:56 GMT 2023","185","","repres.TestReqres","","repres.TestReqres","successCheckEMail2","Проверка доменного имени почты","Проеряем, что на странице 2 почта пользотелей оканчивается на @reqres.in"
"passed","Tue May 02 12:08:55 GMT 2023","Tue May 02 12:08:55 GMT 2023","369","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [1] Maxim, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Tue May 02 12:08:55 GMT 2023","Tue May 02 12:08:56 GMT 2023","312","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [3] Gleb, qa engineer","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Tue May 02 12:08:56 GMT 2023","Tue May 02 12:08:56 GMT 2023","111","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [2] 2","Проеряем, что почта пользотелей оканчивается на @reqres.in"
