"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 14:01:51 GMT 2024","Mon May 13 14:01:52 GMT 2024","297","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [3] Gleb, qa engineer","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Mon May 13 14:01:51 GMT 2024","Mon May 13 14:01:51 GMT 2024","347","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [1] Maxim, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Mon May 13 14:01:51 GMT 2024","Mon May 13 14:01:51 GMT 2024","311","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [2] Anton, teacher","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Mon May 13 14:01:46 GMT 2024","Mon May 13 14:01:51 GMT 2024","4584","","repres.TestReqres","","repres.TestReqres","successCreateUser","Успешное создание нового пользователя","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Mon May 13 14:01:52 GMT 2024","Mon May 13 14:01:52 GMT 2024","81","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [2] 2","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Mon May 13 14:01:52 GMT 2024","Mon May 13 14:01:52 GMT 2024","324","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [4] Anna, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Mon May 13 14:01:52 GMT 2024","Mon May 13 14:01:52 GMT 2024","76","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [1] 1","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Mon May 13 14:01:52 GMT 2024","Mon May 13 14:01:52 GMT 2024","241","","repres.TestReqres","","repres.TestReqres","successCheckEMail2","Проверка доменного имени почты","Проеряем, что на странице 2 почта пользотелей оканчивается на @reqres.in"
