"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 04 08:57:34 GMT 2024","Sat May 04 08:57:38 GMT 2024","4416","","repres.TestReqres","","repres.TestReqres","successCreateUser","Успешное создание нового пользователя","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Sat May 04 08:57:39 GMT 2024","Sat May 04 08:57:40 GMT 2024","433","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [3] Gleb, qa engineer","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Sat May 04 08:57:40 GMT 2024","Sat May 04 08:57:41 GMT 2024","382","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [1] 1","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Sat May 04 08:57:41 GMT 2024","Sat May 04 08:57:41 GMT 2024","88","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [2] 2","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Sat May 04 08:57:40 GMT 2024","Sat May 04 08:57:40 GMT 2024","397","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [4] Anna, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Sat May 04 08:57:39 GMT 2024","Sat May 04 08:57:39 GMT 2024","406","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [2] Anton, teacher","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Sat May 04 08:57:38 GMT 2024","Sat May 04 08:57:39 GMT 2024","463","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [1] Maxim, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Sat May 04 08:57:40 GMT 2024","Sat May 04 08:57:40 GMT 2024","174","","repres.TestReqres","","repres.TestReqres","successCheckEMail2","Проверка доменного имени почты","Проеряем, что на странице 2 почта пользотелей оканчивается на @reqres.in"
