"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 06:20:43 GMT 2024","Thu May 16 06:20:44 GMT 2024","288","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [4] Anna, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 06:20:44 GMT 2024","Thu May 16 06:20:44 GMT 2024","173","","repres.TestReqres","","repres.TestReqres","successCheckEMail2","Проверка доменного имени почты","Проеряем, что на странице 2 почта пользователей оканчивается на @reqres.in"
"passed","Thu May 16 06:20:43 GMT 2024","Thu May 16 06:20:43 GMT 2024","321","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [2] Anton, teacher","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 06:20:44 GMT 2024","Thu May 16 06:20:44 GMT 2024","75","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [1] 1","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Thu May 16 06:20:43 GMT 2024","Thu May 16 06:20:43 GMT 2024","306","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [3] Gleb, qa engineer","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 06:20:38 GMT 2024","Thu May 16 06:20:42 GMT 2024","4405","","repres.TestReqres","","repres.TestReqres","successCreateUser","Успешное создание нового пользователя","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
"passed","Thu May 16 06:20:44 GMT 2024","Thu May 16 06:20:44 GMT 2024","79","","repres.TestReqres","","repres.TestReqres","successCheckEMail3","Проверка доменного имени почты [2] 2","Проеряем, что почта пользотелей оканчивается на @reqres.in"
"passed","Thu May 16 06:20:42 GMT 2024","Thu May 16 06:20:43 GMT 2024","329","","repres.TestReqres","","repres.TestReqres","successCreateUser2","Успешное создание нового пользователя [1] Maxim, doctor","Проверяем, что предаваемые в запросе поля name и job совпадают с одноименными полями в ответе"
